,Unnamed: 0,Country,Visa_Free
0,119,Afghanistan,1
1,25,Albania,5
2,120,Algeria,1
3,26,Andorra,5
4,121,Angola,1
5,81,Antigua and Barbuda,2
6,27,Argentina,5
7,82,Armenia,2
8,83,Australia,2
9,0,Austria,5
10,28,Azerbaijan,5
11,84,Bahamas,2
12,85,Bahrain,2
13,122,Bangladesh,1
14,86,Barbados,2
15,111,Belarus,3
16,1,Belgium,5
17,29,Belize,5
18,123,Benin,1
19,177,Bhutan,0
20,30,Bolivia,5
21,31,Bosnia and Herzegovina,5
22,124,Botswana,1
23,32,Brazil,5
24,112,Brunei,3
25,2,Bulgaria,5
26,125,Burkina Faso,1
27,126,Burundi,1
28,178,Cambodia,0
29,127,Cameroon,1
30,87,Canada,2
31,128,Cape Verde,1
32,129,Central African Republic,1
33,130,Chad,1
34,33,Chile,5
35,88,China,2
36,34,Colombia,5
37,131,Comoros,1
38,113,Costa Rica,3
39,3,Croatia,5
40,179,Cuba,0
41,89,Cyprus,2
42,4,Czech Republic,5
43,133,Democratic Republic of the Congo,1
44,5,Denmark,5
45,134,Djibouti,1
46,90,Dominica,2
47,91,Dominican Republic,2
48,92,East Timor,2
49,35,Ecuador,5
50,135,Egypt,1
51,36,El Salvador,5
52,136,Equatorial Guinea,1
53,137,Eritrea,1
54,6,Estonia,5
55,138,Eswatini,1
56,139,Ethiopia,1
57,93,Fiji,2
58,7,Finland,5
59,8,France,5
60,140,Gabon,1
61,141,Gambia,1
62,37,Georgia,5
63,9,Germany,5
64,142,Ghana,1
65,10,Greece,5
66,94,Grenada,2
67,38,Guatemala,5
68,143,Guinea,1
69,144,Guinea-Bissau,1
70,180,Guyana,0
71,95,Haiti,2
72,39,Honduras,5
73,40,Hong Kong,5
74,11,Hungary,5
75,41,Iceland,5
76,145,India,1
77,96,Indonesia,2
78,42,Iran,5
79,146,Iraq,1
80,12,Ireland,5
81,43,Israel,5
82,13,Italy,5
83,132,Ivory Coast,1
84,97,Jamaica,2
85,44,Japan,5
86,45,Jordan,5
87,46,Kazakhstan,5
88,147,Kenya,1
89,181,Kiribati,0
90,47,Kosovo,5
91,48,Kuwait,5
92,49,Kyrgyzstan,5
93,182,Laos,0
94,114,Latvia,3
95,50,Lebanon,5
96,148,Lesotho,1
97,149,Liberia,1
98,150,Libya,1
99,51,Liechtenstein,5
100,14,Lithuania,5
101,15,Luxembourg,5
102,115,Macao,3
103,151,Madagascar,1
104,152,Malawi,1
105,52,Malaysia,5
106,98,Maldives,2
107,153,Mali,1
108,16,Malta,5
109,183,Marshall Islands,0
110,154,Mauritania,1
111,99,Mauritius,2
112,100,Mexico,2
113,184,Micronesia,0
114,53,Moldova,5
115,54,Monaco,5
116,116,Mongolia,3
117,55,Montenegro,5
118,56,Morocco,5
119,155,Mozambique,1
120,185,Myanmar,0
121,156,Namibia,1
122,186,Nauru,0
123,187,Nepal,0
124,17,Netherlands,5
125,57,New Zealand,5
126,58,Nicaragua,5
127,157,Niger,1
128,158,Nigeria,1
129,188,North Korea,0
130,59,North Macedonia,5
131,60,Norway,5
132,101,Oman,2
133,159,Pakistan,1
134,189,Palau,0
135,160,Palestine,1
136,61,Panama,5
137,190,Papua New Guinea,0
138,62,Paraguay,5
139,63,Peru,5
140,161,Philippines,1
141,18,Poland,5
142,19,Portugal,5
143,64,Qatar,5
144,162,Republic of the Congo,1
145,20,Romania,5
146,110,Russia,4
147,163,Rwanda,1
148,65,Saint Kitts and Nevis,5
149,102,Saint Lucia,2
150,103,Saint Vincent and the Grenadines,2
151,191,Samoa,0
152,66,San Marino,5
153,104,Saudi Arabia,2
154,165,Senegal,1
155,67,Serbia,5
156,68,Seychelles,5
157,166,Sierra Leone,1
158,69,Singapore,5
159,21,Slovakia,5
160,22,Slovenia,5
161,192,Solomon Islands,0
162,167,Somalia,1
163,105,South Africa,2
164,70,South Korea,5
165,193,South Sudan,0
166,23,Spain,5
167,168,Sri Lanka,1
168,169,Sudan,1
169,106,Suriname,2
170,24,Sweden,5
171,71,Switzerland,5
172,194,Syria,0
173,164,São Tomé and Príncipe,1
174,107,Taiwan,2
175,72,Tajikistan,5
176,170,Tanzania,1
177,117,Thailand,3
178,171,Togo,1
179,195,Tonga,0
180,73,Trinidad and Tobago,5
181,74,Tunisia,5
182,118,Turkmenistan,3
183,196,Tuvalu,0
184,172,Uganda,1
185,75,Ukraine,5
186,108,United Arab Emirates,2
187,76,United Kingdom,5
188,109,United States,2
189,77,Uruguay,5
190,78,Uzbekistan,5
191,197,Vanuatu,0
192,79,Vatican City,5
193,80,Venezuela,5
194,173,Vietnam,1
195,174,Yemen,1
196,175,Zambia,1
197,176,Zimbabwe,1
